# of Segment,from sec,to sec,from TR (TR=1 is at time21sec of theaudio file),to TR,duration (sec),duration (TRs),Difference in Beliefs ratings (1-5),,,,,Difference in Emotions ratings (1-5),,,,,Difference in Intentions ratings (1-5),,,,
,,,,,,,IT,JG,MM,VS,YY,IT,JG,MM,VS,YY,IT,JG,MM,VS,YY
148,551.6,554,369,369,2.4,1,1,5,2,2,1,4,4,1,3,1,1,2,1,3,1
149,554,558.2,370,372,4.2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
150,558.2,561.5,373,374,3.3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
151,561.5,565.8,375,377,4.3,3,5,5,5,3,5,5,5,5,4,5,5,5,5,4,1
152,565.8,570.2,378,380,4.4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
153,570.2,573.8,381,383,3.6,3,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5
154,573.8,576.4,384,384,2.6,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
155,576.4,578.3,385,386,1.9,2,3,5,3,4,1,3,4,2,5,1,3,4,4,5,1
156,578.3,584.2,387,389,5.9,3,5,5,5,4,4,5,5,5,5,4,5,3,3,5,1
157,584.2,586.5,390,391,2.3,2,5,5,4,4,4,5,5,5,5,4,5,3,3,5,1
158,586.5,587.7,392,392,1.2,1,5,5,4,5,4,5,4,5,5,4,5,2,4,5,1
159,587.7,601.9,393,401,14.2,9,4,4,5,4,4,4,3,5,4,3,4,5,5,4,4
160,601.9,603.7,402,402,1.8,1,5,4,5,4,4,5,3,5,4,4,5,5,5,4,4
161,603.7,608,403,405,4.3,3,3,3,5,3,2,3,3,5,4,2,3,5,5,4,2
162,608,614.6,406,410,6.6,5,3,3,2,3,2,3,2,2,4,2,3,5,2,4,2
163,614.6,621,411,414,6.4,4,3,3,4,3,2,3,2,4,4,2,3,5,4,4,2
164,621,627.8,415,418,6.8,4,2,2,2,2,1,2,3,2,2,1,2,5,2,2,1
165,627.8,629.1,419,419,1.3,1,2,2,4,2,2,2,3,4,3,1,2,5,5,3,2
166,629.1,633.5,420,422,4.4,3,2,2,4,4,1,2,2,4,4,3,2,5,5,4,1
167,633.5,637.2,423,425,3.7,3,2,2,5,3,3,2,2,5,3,1,2,4,5,3,2
168,637.2,638.8,426,426,1.6,1,2,2,4,3,2,2,2,4,4,1,2,4,5,4,2
169,638.8,642.6,427,428,3.8,2,5,4,5,3,1,5,3,5,4,2,5,5,5,4,1
170,642.6,644.1,429,429,1.5,1,5,4,1,3,1,5,3,4,3,2,5,5,1,4,1
171,644.1,650,430,433,5.9,4,5,5,5,5,3,4,2,3,5,3,3,5,4,4,3
172,650,651.8,434,435,1.8,2,5,5,5,5,1,5,2,3,5,2,5,5,4,4,2
173,651.8,656.3,436,438,4.5,3,4,5,2,3,1,4,3,2,4,2,4,5,2,3,2
174,656.3,661,439,441,4.7,3,5,4,5,3,1,5,3,5,4,4,5,4,5,3,4
175,661,665.5,442,444,4.5,3,5,2,1,3,1,5,1,5,4,3,5,1,1,3,1
176,665.5,667.3,445,445,1.8,1,5,3,5,3,1,5,2,5,4,3,5,1,2,3,1
177,667.3,670.2,446,447,2.9,2,5,4,1,3,1,5,2,1,4,3,5,1,1,3,1
178,670.2,673.5,448,449,3.3,2,5,4,5,3,1,5,4,5,4,5,5,5,5,4,2
179,673.5,675,450,450,1.5,1,5,3,1,3,1,5,4,1,4,5,5,4,1,4,2
,,,,,,,,,,,,,,,,,,,,,
avg,,,,,3.770949721,2.51396648,,,,,,,,,,,,,,,
stdev,,,,,2.386525068,1.636512948,,,,,,,,,,,,,,,
sterr,,,,,0.178377259,0.122318721,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,0.7,0,,,,,,,,,,,,,,,
,,,,,14.2,9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
